Weight,01,03,04,05,06,07,08
1,2.48,2.54,2.6,2.69,2.81,2.87,3.08
1.5,2.48,2.54,2.6,2.69,2.81,2.87,3.08
2,2.59,2.67,2.75,2.87,3.03,3.11,3.39
2.5,2.71,2.81,2.91,3.06,3.26,3.36,3.71
3,2.82,2.94,3.06,3.24,3.48,3.6,4.02
3.5,2.94,3.08,3.22,3.43,3.71,3.85,4.34
4,3.05,3.21,3.37,3.61,3.93,4.09,4.65
4.5,3.17,3.35,3.53,3.8,4.16,4.34,4.97
5,3.28,3.48,3.68,3.98,4.38,4.58,5.28
6,3.51,3.75,3.99,4.35,4.83,5.07,5.91
7,3.74,4.02,4.3,4.72,5.28,5.56,6.54
8,3.97,4.29,4.61,5.09,5.73,6.05,7.17
9,4.2,4.56,4.92,5.46,6.18,6.54,7.8
10,4.43,4.83,5.23,5.83,6.63,7.03,8.43
11,4.66,5.1,5.54,6.2,7.08,7.52,9.06
12,4.89,5.37,5.85,6.57,7.53,8.01,9.69
13,5.12,5.64,6.16,6.94,7.98,8.5,10.32
14,5.35,5.91,6.47,7.31,8.43,8.99,10.95
15,5.58,6.18,6.78,7.68,8.88,9.48,11.58