Weight,1,2,3-5,6-9
1,6.03,6.03,6.03,6.03
2,6.03,6.03,6.03,6.03
3,6.76,8.14,8.69,8.42
4,6.76,8.14,8.69,8.42
5,7.27,9.82,10.84,10.33
6,7.27,9.82,10.84,10.33
7,7.27,9.82,10.84,10.33
8,7.27,9.82,10.84,10.33
12,7.78,11.48,12.67,12.16
16,8.97,12.79,14.24,13.81
20,10.16,14.11,15.81,15.47
24,11.35,15.43,17.38,17.13
28,12.54,16.75,18.96,18.79
32,13.73,18.06,20.53,20.44
36,14.92,19.38,22.10,22.10
40,16.11,20.70,23.67,23.76
44,17.30,22.02,25.25,25.42
48,18.49,23.33,26.82,27.07
52,19.68,24.65,28.39,28.73
56,20.87,25.97,29.96,30.39
60,22.06,27.29,31.54,32.05
64,23.25,28.60,33.11,33.70